tea,systemfee,networkfee
8220000000,2116747,127852
8230000000,2116747,127852
8240000000,2116747,127852
8250000000,2116747,127852
8260000000,2116747,127852
8270000000,2116747,127852
8280000000,2116747,127852
8290000000,2116747,127852
8300000000,2116747,127852
8310000000,2116747,127852
8320000000,2116747,127852
8330000000,2116747,127852
8340000000,2116747,127852
8350000000,2116747,127852
8360000000,2116747,127852
8370000000,2116747,127852
8380000000,2116747,127852
8390000000,2116747,127852
8400000000,2116747,127852
8410000000,2116747,127852
8420000000,2116747,127852
8430000000,2116747,127852
8440000000,2116747,127852
8450000000,2116747,127852
8460000000,2116747,127852
8470000000,2116747,127852
8480000000,2116747,127852
8490000000,2116747,127852
8500000000,2116747,127852
